DlangUI log file
2016-12-20 02:44:15.806 V  shaders are ok
2016-12-20 02:44:15.806 V  OpenGL is initialized ok
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/editbox_background_disabled_focus.9.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/editbox_background_focus.9.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/editbox_background_disabled.9.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/editbox_background_normal.9.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/scrollbar_btn_up.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/scrollbar_btn_background_pressed.9.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/scrollbar_btn_background_normal.9.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/scrollbar_btn_background_hover.9.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/scrollbar_btn_down.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/scrollbar_indicator_vertical.png
2016-12-20 02:44:15.806 D  Loading image from file @embedded@/scrollbar_btn_background_disabled.9.png
2016-12-20 02:44:15.821 D  WM_WINDOWPOSCHANGED: WINDOWPOS(300744, 1A0480, 182, 182, 492, 328, 268439618)
2016-12-20 02:44:15.821 D  onResize 490x303
2016-12-20 02:44:15.821 D  resize: measure took 0 ms
2016-12-20 02:44:15.821 D  resize: layout took 0 ms
2016-12-20 02:44:15.821 V  created glyph cache page 1024x1024
2016-12-20 02:44:15.821 V  created image cache page 1024x1024
2016-12-20 02:44:15.821 D  Loading image from file @embedded@/scrollbar_btn_right.png
2016-12-20 02:44:15.821 D  Loading image from file @embedded@/scrollbar_btn_left.png
2016-12-20 02:44:15.837 D  updateTexture - new texture id=1
2016-12-20 02:44:15.837 D  updateTexture for cache page - setting image 1024x1024 tx=1
2016-12-20 02:44:15.837 D  updateTexture - new texture id=2
2016-12-20 02:44:15.837 D  updateTexture for cache page - setting image 1024x1024 tx=2
2016-12-20 02:44:18.844 D  keydown, keyFlags=0
2016-12-20 02:44:18.875 D  keydown, keyFlags=0
2016-12-20 02:44:19.047 D  keydown, keyFlags=0
2016-12-20 02:44:19.109 D  keydown, keyFlags=0
